DateStatusUpdated,EnteredBy,fk_LocationID,fk_sampleID,Institution,pk_StatusLocationID,ref_containID,ref_containNum,ref_containType,ref_SampleID,SampleLocationDate
2012-10-01,,3,321,Uvic,121,Scintillation 3 Uvic,3,Scintillation,,321 3 2012-10-01
2012-10-01,,3,322,Uvic,122,Scintillation 3 Uvic,3,Scintillation,,322 3 2012-10-01
2012-10-01,,3,323,Uvic,123,Scintillation 3 Uvic,3,Scintillation,,323 3 2012-10-01
2012-10-01,,3,324,Uvic,124,Scintillation 3 Uvic,3,Scintillation,,324 3 2012-10-01
2012-10-01,,3,325,Uvic,125,Scintillation 3 Uvic,3,Scintillation,,325 3 2012-10-01
2012-10-01,,3,326,Uvic,126,Scintillation 3 Uvic,3,Scintillation,,326 3 2012-10-01
2012-10-01,,3,327,Uvic,127,Scintillation 3 Uvic,3,Scintillation,,327 3 2012-10-01
2012-10-01,,3,328,Uvic,128,Scintillation 3 Uvic,3,Scintillation,,328 3 2012-10-01
2012-10-01,,3,329,Uvic,129,Scintillation 3 Uvic,3,Scintillation,,329 3 2012-10-01
2012-10-01,,3,330,Uvic,130,Scintillation 3 Uvic,3,Scintillation,,330 3 2012-10-01
2012-10-01,,3,331,Uvic,131,Scintillation 3 Uvic,3,Scintillation,,331 3 2012-10-01
2012-10-01,,3,332,Uvic,132,Scintillation 3 Uvic,3,Scintillation,,332 3 2012-10-01
2012-10-01,,3,333,Uvic,133,Scintillation 3 Uvic,3,Scintillation,,333 3 2012-10-01
2012-10-01,,3,334,Uvic,134,Scintillation 3 Uvic,3,Scintillation,,334 3 2012-10-01
2012-10-01,,3,335,Uvic,135,Scintillation 3 Uvic,3,Scintillation,,335 3 2012-10-01
2012-10-01,,3,336,Uvic,136,Scintillation 3 Uvic,3,Scintillation,,336 3 2012-10-01
2012-10-01,,3,337,Uvic,137,Scintillation 3 Uvic,3,Scintillation,,337 3 2012-10-01
2012-10-01,,3,388,Uvic,138,Scintillation 3 Uvic,3,Scintillation,,388 3 2012-10-01
2012-10-01,,3,389,Uvic,139,Scintillation 3 Uvic,3,Scintillation,,389 3 2012-10-01
2012-10-01,,3,390,Uvic,140,Scintillation 3 Uvic,3,Scintillation,,390 3 2012-10-01
2012-10-01,,3,391,Uvic,141,Scintillation 3 Uvic,3,Scintillation,,391 3 2012-10-01
2012-10-01,,3,392,Uvic,142,Scintillation 3 Uvic,3,Scintillation,,392 3 2012-10-01
2012-10-01,,3,393,Uvic,143,Scintillation 3 Uvic,3,Scintillation,,393 3 2012-10-01
2012-10-01,,3,394,Uvic,144,Scintillation 3 Uvic,3,Scintillation,,394 3 2012-10-01
2012-10-01,,3,395,Uvic,145,Scintillation 3 Uvic,3,Scintillation,,395 3 2012-10-01
2012-10-01,,3,396,Uvic,146,Scintillation 3 Uvic,3,Scintillation,,396 3 2012-10-01
2012-10-01,,3,397,Uvic,147,Scintillation 3 Uvic,3,Scintillation,,397 3 2012-10-01
2012-10-01,,3,398,Uvic,148,Scintillation 3 Uvic,3,Scintillation,,398 3 2012-10-01
2012-10-01,,3,399,Uvic,149,Scintillation 3 Uvic,3,Scintillation,,399 3 2012-10-01
2012-10-01,,3,400,Uvic,150,Scintillation 3 Uvic,3,Scintillation,,400 3 2012-10-01
2012-10-01,,3,401,Uvic,151,Scintillation 3 Uvic,3,Scintillation,,401 3 2012-10-01
2012-10-01,,3,402,Uvic,152,Scintillation 3 Uvic,3,Scintillation,,402 3 2012-10-01
2012-10-01,,3,403,Uvic,153,Scintillation 3 Uvic,3,Scintillation,,403 3 2012-10-01
2012-10-01,,3,404,Uvic,154,Scintillation 3 Uvic,3,Scintillation,,404 3 2012-10-01
2012-10-01,,3,405,Uvic,155,Scintillation 3 Uvic,3,Scintillation,,405 3 2012-10-01
2012-10-01,,3,406,Uvic,156,Scintillation 3 Uvic,3,Scintillation,,406 3 2012-10-01
2012-10-01,,3,407,Uvic,157,Scintillation 3 Uvic,3,Scintillation,,407 3 2012-10-01
2012-10-01,,3,408,Uvic,158,Scintillation 3 Uvic,3,Scintillation,,408 3 2012-10-01
2012-10-01,,3,409,Uvic,159,Scintillation 3 Uvic,3,Scintillation,,409 3 2012-10-01
