d13C,d15N,DateProcessed,fk_PackedID,fk_SampleID,fk_TrayID,Lab,pk_ResultID,ref_sampleID,ref_Tray,Weight_mg
-14.97,13.5,,508,,,UC Davis,79,KIF11_434_1,RT_KI_02,1
-14.9,15.84,,509,,,UC Davis,80,KIF11_440_1,RT_KI_02,1.1
-12.96,15.72,,510,,,UC Davis,81,KIF11_441_1,RT_KI_02,1
-10.69,16.34,,511,,,UC Davis,82,KIF11_442_1,RT_KI_02,1
-13.95,12.82,,512,,,UC Davis,83,KIF11_447_1,RT_KI_02,1
-13.74,13.14,,513,,,UC Davis,84,KIF11_450_1,RT_KI_02,1
-14.34,12.92,,514,,,UC Davis,85,KIF11_451_1,RT_KI_02,0.9
-14.72,13.35,,515,,,UC Davis,86,KIF11_452_1,RT_KI_02,0.9
-12.96,14.06,,516,,,UC Davis,87,KIF11_453_1,RT_KI_02,1
-18.1,10.46,,535,,,UC Davis,88,KIF11_612_1,RT_KI_02,1
-18.04,9.9,,536,,,UC Davis,89,KIF11_613_1,RT_KI_02,1
-17.91,9.76,,537,,,UC Davis,90,KIF11_614_1,RT_KI_02,1
-17.96,9.87,,538,,,UC Davis,91,KIF11_615_1,RT_KI_02,1
-18.58,9.37,,539,,,UC Davis,92,KIF11_616_1,RT_KI_02,1
-18.21,9.3,,540,,,UC Davis,93,KIF11_617_1,RT_KI_02,0.9
-18.43,9,,541,,,UC Davis,94,KIF11_618_1,RT_KI_02,1.1
-18.37,9.11,,542,,,UC Davis,95,KIF11_619_1,RT_KI_02,1
-18.23,9.75,,543,,,UC Davis,96,KIF11_623_1,RT_KI_02,1.1
-18.53,12.38,,1184,,,UC Davis,97,KIPR_041_NA,KI_POM_01,0
-19.74,10.77,,1185,,,UC Davis,98,KIPR_042_NA,KI_POM_01,0
-20.06,10.24,,1186,,,UC Davis,99,KIPR_043_NA,KI_POM_01,0
-18.03,13.29,,1187,,,UC Davis,100,KIPR_038_NA,KI_POM_01,0
-18.32,11.22,,1188,,,UC Davis,101,KIPR_039_NA,KI_POM_01,0
-18.62,11.95,,1189,,,UC Davis,102,KIPR_040_NA,KI_POM_01,0
-20.65,10.45,,1190,,,UC Davis,103,KIPR_065_NA,KI_POM_01,0
-21.02,11.64,,1191,,,UC Davis,104,KIPR_066_NA,KI_POM_01,0
-21.18,9.72,,1192,,,UC Davis,105,KIPR_067_NA,KI_POM_01,0
-18.04,10.04,,1193,,,UC Davis,106,KIPR_090_NA,KI_POM_01,0
-17.6,9.66,,1194,,,UC Davis,107,KIPR_091_NA,KI_POM_01,0
-17.69,9.96,,1195,,,UC Davis,108,KIPR_092_NA,KI_POM_01,0
-22.68,9.68,,1196,,,UC Davis,109,KIPR_038_A,KI_POM_01,0
-22.65,9.83,,1197,,,UC Davis,110,KIPR_039_A,KI_POM_01,0
-22.33,9.87,,1198,,,UC Davis,111,KIPR_040_A,KI_POM_01,0
-23.11,9.43,,1199,,,UC Davis,112,KIPR_041_A,KI_POM_01,0
-23.44,9.32,,1200,,,UC Davis,113,KIPR_042_A,KI_POM_01,0
-22.89,9.36,,1201,,,UC Davis,114,KIPR_043_A,KI_POM_01,0
-23.05,9.75,,1202,,,UC Davis,115,KIPR_065_A,KI_POM_01,0
-23.22,9.89,,1203,,,UC Davis,116,KIPR_066_A,KI_POM_01,0
-23.25,9.44,,1204,,,UC Davis,117,KIPR_067_A,KI_POM_01,0
-22.55,9.94,,1205,,,UC Davis,118,KIPR_090_A,KI_POM_01,0
-22.41,9.88,,1206,,,UC Davis,119,KIPR_091_A,KI_POM_01,0
-22.46,9.8,,1207,,,UC Davis,120,KIPR_092_A,KI_POM_01,0
-10.92,8.08,,1232,,,UC Davis,121,PR007_R,KI_PR_01,4
-6.56,9.56,,1233,,,UC Davis,122,PR008_R,KI_PR_01,4
-9.89,7.12,,1234,,,UC Davis,123,PR186_R,KI_PR_01,3.8
-14.25,8.66,,1235,,,UC Davis,124,PR187_R,KI_PR_01,3.2
-16.29,11.49,,1237,,,UC Davis,125,PR047_A,KI_PR_01,3.3
-12.81,11.54,,1238,,,UC Davis,126,PR047,KI_PR_01,3.3
-11.82,11.17,,1236,,,UC Davis,127,PR048,KI_PR_01,3.7
-15.81,11.2,,1239,,,UC Davis,128,PR050_A,KI_PR_01,2.7
-14.04,10.77,,1240,,,UC Davis,129,PR006_A,KI_PR_01,3.8
-14.71,10.59,,1241,,,UC Davis,130,PR006_RAW,KI_PR_01,4
-14.06,8.83,,1242,,,UC Davis,131,PR187_A,KI_PR_01,3.9
-18.62,7.66,,1243,,,UC Davis,132,PR007_A,KI_PR_01,4
-18.83,9.25,,1244,,,UC Davis,133,PR008_A,KI_PR_01,3.9
-19.72,6.5,,1245,,,UC Davis,134,KIPR_186_A,KI_PR_01,3.9
-18.57,12.76,,27,,,UC Davis,135,ACANIG015_NA,KT_KI_04,1
-15.68,12.04,,63,,,UC Davis,136,ACANIG128_NA,KT_KI_04,1.1
-17.27,11.9,,65,,,UC Davis,137,ACANIG129_NA,KT_KI_04,1
-17.15,12.92,,73,,,UC Davis,138,ACANIG136_NA,KT_KI_04,1
-17.26,12.19,,84,,,UC Davis,139,ACANIG146_NA,KT_KI_04,0.9
-17.39,12.14,,87,,,UC Davis,140,ACANIG148_NA,KT_KI_04,1.1
